11;Trappes;32 931
11;Versailles;87 315
75;Niort;61 044
32;Amiens;136 998
76;Albi;51 151
76;Castres;42 923
76;Montauban;61 978
93;Draguignan;40 928
93;Fréjus;54 023
93;La Garde;25 645
93;Hyères;56 799
93;Saint-Raphaël;35 826
93;La Seyne-sur-Mer;65 386
93;Six-Fours-les-Plages;33 904
93;Toulon;171 643
93;Avignon;94 200
93;Carpentras;29 498
93;Cavaillon;26 985
93;Orange;29 856
52;La Roche-sur-Yon;56 991
75;Châtellerault;32 887
75;Poitiers;90 590
75;Limoges;135 140
44;Épinal;33 454
27;Auxerre;36 804
27;Sens;26 688
27;Belfort;49 926
11;Athis-Mons;34 065
11;Brétigny-sur-Orge;26 702
11;Brunoy;26 520
11;Corbeil-Essonnes;51 682
11;Draveil;29 558
11;Évry;55 425
11;Grigny;29 118
11;Massy;50 549
11;Palaiseau;34 954
11;Ris-Orangis;29 040
11;Sainte-Geneviève-des-Bois;36 219
11;Savigny-sur-Orge;36 677
11;Les Ulis;25 031
11;Vigneux-sur-Seine;31 488
11;Viry-Châtillon;30 962
11;Yerres;29 132
11;Antony;62 989
11;Asnières-sur-Seine;86 678
11;Bagneux;39 977
11;Bois-Colombes;28 607
11;Boulogne-Billancourt;120 943
11;Châtenay-Malabry;33 413
11;Châtillon;37 132
11;Clamart;53 099
11;Clichy;60 746
11;Colombes;86 050
11;Courbevoie;82 351
11;La Garenne-Colombes;29 503
11;Gennevilliers;46 939
11;Issy-les-Moulineaux;69 231
11;Levallois-Perret;64 028
11;Malakoff;30 286
11;Meudon;46 014
11;Montrouge;49 372
11;Nanterre;96 321
11;Neuilly-sur-Seine;61 501
11;Le Plessis-Robinson;29 192
11;Puteaux;44 941
11;Rueil-Malmaison;79 783
11;Saint-Cloud;30 797
11;Suresnes;49 145
11;Vanves;28 148
11;Aubervilliers;86 533
11;Aulnay-sous-Bois;85 214
11;Bagnolet;36 047
11;Le Blanc-Mesnil;56 346
11;Bobigny;52 633
11;Bondy;53 416
11;Clichy-sous-Bois;29 978
11;La Courneuve;42 712
11;Drancy;70 883
11;Épinay-sur-Seine;55 754
11;Gagny;39 391
11;Livry-Gargan;44 721
11;Montfermeil;26 262
11;Montreuil;109 235
11;Neuilly-sur-Marne;34 859
11;Noisy-le-Grand;67 086
